lamppost_id,measurement_datetime,air_temperature_c,relative_humidity_pct,device_height_m,lp_latitude,lp_longitude,source_url
AB4818,2025-10-05T16:50:57,29.3,79.0,3.0,22.315157,114.224991,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_AB4818_04.csv
DF1020,2025-10-05T16:50:39,30.0,78.0,3.0,22.31777,114.171015,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF1020_04.csv
DF3633,2025-10-05T16:50:46,30.0,77.0,3.0,22.333017,114.204519,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3633_04.csv
DF3637,2025-10-05T17:00:03,29.8,83.0,3.0,22.332194,114.204583,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3637_04.csv
DF3644,2025-10-05T16:50:55,29.4,78.0,5.0,22.331033,114.204639,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3644_02.csv
DF3647,2025-10-05T17:00:11,29.5,83.0,3.0,22.330369,114.20464,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3647_04.csv
DF3651,2025-10-05T16:50:40,29.9,80.5,3.0,22.329522,114.204611,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3651_04.csv
DF3654,2025-10-05T17:00:19,29.7,80.0,3.0,22.328862,114.204576,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3654_04.csv
E7692,2025-10-05T17:00:12,29.2,82.0,3.0,22.321696,114.209811,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_E7692_04.csv
E7710,2025-10-05T17:00:16,29.3,81.4,3.0,22.321498,114.207796,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_E7710_04.csv
GF0710,2025-10-05T16:50:57,29.9,73.0,3.0,22.32187,114.211365,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF0710_04.csv
GF3638,2025-10-05T16:20:35,29.5,86.2,3.0,22.314722,114.223885,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3638_04.csv
GF3640,2025-10-05T17:00:20,29.9,79.0,3.0,22.31493,114.224662,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3640_04.csv
GF3643,2025-10-05T17:00:08,29.7,84.0,3.0,22.314587,114.225609,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3643_04.csv
GF3644,2025-10-05T16:50:23,29.5,88.0,3.0,22.314045,114.225841,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3644_04.csv
GF3831,2025-10-05T17:00:00,29.0,85.0,3.0,22.309247,114.212971,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3831_04.csv
GF3839,2025-10-05T16:50:38,29.2,82.0,3.0,22.308653,114.211115,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3839_04.csv
GF3842,2025-10-05T16:50:28,29.4,79.0,3.0,22.308226,114.211083,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3842_04.csv
GF3844,2025-10-05T17:00:18,29.0,84.9,3.0,22.308128,114.211521,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3844_04.csv
GF3846,2025-10-05T17:00:05,29.3,78.1,3.0,22.308413,114.211648,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3846_04.csv
GF3851,2025-10-05T17:00:01,29.4,81.0,3.0,22.308709,114.211864,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3851_04.csv
AB4818,2025-10-05T17:20:58,29.0,81.0,3.0,22.315157,114.224991,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_AB4818_04.csv
DF1020,2025-10-05T17:20:39,30.4,76.7,3.0,22.31777,114.171015,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF1020_04.csv
DF3633,2025-10-05T17:20:46,29.7,77.3,3.0,22.333017,114.204519,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3633_04.csv
DF3637,2025-10-05T17:30:04,29.7,84.0,3.0,22.332194,114.204583,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3637_04.csv
DF3644,2025-10-05T17:20:56,29.1,78.0,5.0,22.331033,114.204639,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3644_02.csv
DF3647,2025-10-05T17:30:12,29.5,83.6,3.0,22.330369,114.20464,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3647_04.csv
DF3651,2025-10-05T17:20:41,29.7,80.4,3.0,22.329522,114.204611,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3651_04.csv
DF3654,2025-10-05T17:30:20,29.7,80.0,3.0,22.328862,114.204576,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3654_04.csv
E7692,2025-10-05T17:30:13,29.1,83.0,3.0,22.321696,114.209811,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_E7692_04.csv
E7710,2025-10-05T17:30:17,29.0,82.0,3.0,22.321498,114.207796,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_E7710_04.csv
GF0710,2025-10-05T17:20:57,29.7,73.8,3.0,22.32187,114.211365,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF0710_04.csv
GF3638,2025-10-05T17:00:32,29.5,86.7,3.0,22.314722,114.223885,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3638_04.csv
GF3640,2025-10-05T17:30:20,30.3,78.0,3.0,22.31493,114.224662,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3640_04.csv
GF3643,2025-10-05T17:30:09,29.8,84.0,3.0,22.314587,114.225609,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3643_04.csv
GF3644,2025-10-05T17:30:24,29.3,89.0,3.0,22.314045,114.225841,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3644_04.csv
GF3831,2025-10-05T17:30:01,28.8,85.0,3.0,22.309247,114.212971,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3831_04.csv
GF3839,2025-10-05T17:20:38,28.9,83.0,3.0,22.308653,114.211115,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3839_04.csv
GF3842,2025-10-05T17:30:29,29.0,80.7,3.0,22.308226,114.211083,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3842_04.csv
GF3844,2025-10-05T17:30:18,28.8,85.8,3.0,22.308128,114.211521,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3844_04.csv
GF3846,2025-10-05T17:30:05,29.1,80.0,3.0,22.308413,114.211648,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3846_04.csv
GF3851,2025-10-05T17:30:02,29.0,82.0,3.0,22.308709,114.211864,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3851_04.csv
AB4818,2025-10-05T18:00:59,29.1,80.0,3.0,22.315157,114.224991,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_AB4818_04.csv
DF1020,2025-10-05T18:10:41,30.1,78.2,3.0,22.31777,114.171015,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF1020_04.csv
DF3633,2025-10-05T18:00:47,29.3,79.0,3.0,22.333017,114.204519,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3633_04.csv
DF3637,2025-10-05T18:10:05,29.4,85.0,3.0,22.332194,114.204583,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3637_04.csv
DF3644,2025-10-05T18:00:57,29.0,79.5,5.0,22.331033,114.204639,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3644_02.csv
DF3647,2025-10-05T18:10:13,29.3,84.0,3.0,22.330369,114.20464,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3647_04.csv
DF3651,2025-10-05T18:00:42,29.6,82.0,3.0,22.329522,114.204611,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3651_04.csv
DF3654,2025-10-05T18:10:21,29.5,80.9,3.0,22.328862,114.204576,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3654_04.csv
E7692,2025-10-05T18:10:13,28.9,83.0,3.0,22.321696,114.209811,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_E7692_04.csv
E7710,2025-10-05T18:10:18,28.9,83.0,3.0,22.321498,114.207796,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_E7710_04.csv
GF0710,2025-10-05T18:00:58,29.5,75.0,3.0,22.32187,114.211365,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF0710_04.csv
GF3638,2025-10-05T17:40:29,29.7,86.0,3.0,22.314722,114.223885,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3638_04.csv
GF3640,2025-10-05T18:10:21,29.5,80.6,3.0,22.31493,114.224662,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3640_04.csv
GF3643,2025-10-05T18:10:09,29.3,86.0,3.0,22.314587,114.225609,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3643_04.csv
GF3644,2025-10-05T18:10:25,29.0,90.0,3.0,22.314045,114.225841,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3644_04.csv
GF3831,2025-10-05T18:10:02,28.6,86.0,3.0,22.309247,114.212971,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3831_04.csv
GF3839,2025-10-05T18:10:39,28.6,85.0,3.0,22.308653,114.211115,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3839_04.csv
GF3842,2025-10-05T18:10:30,28.8,81.5,3.0,22.308226,114.211083,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3842_04.csv
GF3844,2025-10-05T18:10:19,28.6,86.8,3.0,22.308128,114.211521,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3844_04.csv
GF3846,2025-10-05T18:10:06,28.7,81.0,3.0,22.308413,114.211648,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3846_04.csv
GF3851,2025-10-05T18:10:03,28.7,83.0,3.0,22.308709,114.211864,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3851_04.csv
AB4818,2025-10-05T18:20:59,28.8,81.0,3.0,22.315157,114.224991,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_AB4818_04.csv
DF1020,2025-10-05T18:30:41,29.9,79.0,3.0,22.31777,114.171015,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF1020_04.csv
DF3633,2025-10-05T18:20:48,29.3,80.0,3.0,22.333017,114.204519,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3633_04.csv
DF3637,2025-10-05T18:30:05,29.4,85.0,3.0,22.332194,114.204583,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3637_04.csv
DF3644,2025-10-05T18:20:57,28.8,80.0,5.0,22.331033,114.204639,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3644_02.csv
DF3647,2025-10-05T18:30:13,29.4,84.0,3.0,22.330369,114.20464,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3647_04.csv
DF3651,2025-10-05T18:20:42,29.5,82.0,3.0,22.329522,114.204611,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3651_04.csv
DF3654,2025-10-05T18:30:21,29.5,80.6,3.0,22.328862,114.204576,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3654_04.csv
E7692,2025-10-05T18:30:14,28.8,84.0,3.0,22.321696,114.209811,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_E7692_04.csv
E7710,2025-10-05T18:30:18,28.9,83.1,3.0,22.321498,114.207796,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_E7710_04.csv
GF0710,2025-10-05T18:20:59,29.3,75.1,3.0,22.32187,114.211365,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF0710_04.csv
GF3638,2025-10-05T18:20:26,29.4,87.0,3.0,22.314722,114.223885,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3638_04.csv
GF3640,2025-10-05T18:30:21,29.3,82.0,3.0,22.31493,114.224662,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3640_04.csv
GF3643,2025-10-05T18:30:10,29.1,87.0,3.0,22.314587,114.225609,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3643_04.csv
GF3644,2025-10-05T18:30:26,29.1,90.0,3.0,22.314045,114.225841,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3644_04.csv
GF3831,2025-10-05T18:30:02,28.5,86.6,3.0,22.309247,114.212971,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3831_04.csv
GF3839,2025-10-05T18:30:40,28.6,85.0,3.0,22.308653,114.211115,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3839_04.csv
GF3842,2025-10-05T18:30:30,28.8,81.0,3.0,22.308226,114.211083,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3842_04.csv
GF3844,2025-10-05T18:30:20,28.6,87.0,3.0,22.308128,114.211521,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3844_04.csv
GF3846,2025-10-05T18:30:07,28.7,81.0,3.0,22.308413,114.211648,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3846_04.csv
GF3851,2025-10-05T18:30:03,28.6,84.0,3.0,22.308709,114.211864,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3851_04.csv
AB4818,2025-10-05T18:50:00,28.7,82.0,3.0,22.315157,114.224991,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_AB4818_04.csv
DF1020,2025-10-05T18:40:41,29.5,80.0,3.0,22.31777,114.171015,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF1020_04.csv
DF3633,2025-10-05T18:40:48,29.3,79.3,3.0,22.333017,114.204519,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3633_04.csv
DF3637,2025-10-05T18:50:06,29.4,84.5,3.0,22.332194,114.204583,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3637_04.csv
DF3644,2025-10-05T18:40:57,28.9,80.5,5.0,22.331033,114.204639,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3644_02.csv
DF3647,2025-10-05T18:50:13,29.5,83.1,3.0,22.330369,114.20464,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3647_04.csv
DF3651,2025-10-05T18:40:42,29.7,82.0,3.0,22.329522,114.204611,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3651_04.csv
DF3654,2025-10-05T18:50:21,29.6,80.0,3.0,22.328862,114.204576,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3654_04.csv
E7692,2025-10-05T18:50:14,28.9,83.0,3.0,22.321696,114.209811,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_E7692_04.csv
E7710,2025-10-05T18:50:19,28.9,83.0,3.0,22.321498,114.207796,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_E7710_04.csv
GF0710,2025-10-05T18:40:59,29.2,76.0,3.0,22.32187,114.211365,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF0710_04.csv
GF3640,2025-10-05T18:50:22,29.3,81.3,3.0,22.31493,114.224662,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3640_04.csv
GF3643,2025-10-05T18:50:10,29.1,86.0,3.0,22.314587,114.225609,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3643_04.csv
GF3644,2025-10-05T18:50:26,29.0,90.0,3.0,22.314045,114.225841,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3644_04.csv
GF3831,2025-10-05T18:50:02,28.6,85.4,3.0,22.309247,114.212971,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3831_04.csv
GF3839,2025-10-05T18:40:40,28.6,84.5,3.0,22.308653,114.211115,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3839_04.csv
GF3842,2025-10-05T18:50:31,28.8,80.8,3.0,22.308226,114.211083,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3842_04.csv
GF3844,2025-10-05T18:50:20,28.6,86.0,3.0,22.308128,114.211521,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3844_04.csv
GF3846,2025-10-05T18:50:07,28.7,80.0,3.0,22.308413,114.211648,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3846_04.csv
GF3851,2025-10-05T18:50:04,28.7,82.9,3.0,22.308709,114.211864,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3851_04.csv
AB4818,2025-10-05T19:30:01,28.6,81.4,3.0,22.315157,114.224991,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_AB4818_04.csv
DF1020,2025-10-05T19:30:42,29.7,79.0,3.0,22.31777,114.171015,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF1020_04.csv
DF3633,2025-10-05T19:30:49,29.2,79.0,3.0,22.333017,114.204519,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3633_04.csv
DF3637,2025-10-05T19:30:06,29.3,84.0,3.0,22.332194,114.204583,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3637_04.csv
DF3644,2025-10-05T19:30:58,29.0,79.0,5.0,22.331033,114.204639,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3644_02.csv
DF3647,2025-10-05T19:30:14,29.4,83.0,3.0,22.330369,114.20464,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3647_04.csv
DF3651,2025-10-05T19:30:43,29.5,81.9,3.0,22.329522,114.204611,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3651_04.csv
DF3654,2025-10-05T19:30:22,29.6,80.0,3.0,22.328862,114.204576,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3654_04.csv
E7692,2025-10-05T19:30:15,28.9,83.0,3.0,22.321696,114.209811,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_E7692_04.csv
E7710,2025-10-05T19:30:20,29.0,82.0,3.0,22.321498,114.207796,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_E7710_04.csv
GF0710,2025-10-05T19:30:00,29.3,74.8,3.0,22.32187,114.211365,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF0710_04.csv
GF3638,2025-10-05T19:30:56,29.0,87.7,3.0,22.314722,114.223885,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3638_04.csv
GF3640,2025-10-05T19:30:22,29.1,81.1,3.0,22.31493,114.224662,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3640_04.csv
GF3643,2025-10-05T19:30:11,29.0,86.0,3.0,22.314587,114.225609,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3643_04.csv
GF3644,2025-10-05T19:30:27,28.9,89.7,3.0,22.314045,114.225841,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3644_04.csv
GF3831,2025-10-05T19:30:03,28.5,85.4,3.0,22.309247,114.212971,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3831_04.csv
GF3839,2025-10-05T19:30:41,28.5,83.3,3.0,22.308653,114.211115,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3839_04.csv
GF3842,2025-10-05T19:30:32,28.7,81.0,3.0,22.308226,114.211083,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3842_04.csv
GF3844,2025-10-05T19:30:21,28.6,85.7,3.0,22.308128,114.211521,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3844_04.csv
GF3846,2025-10-05T19:30:08,28.6,80.0,3.0,22.308413,114.211648,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3846_04.csv
GF3851,2025-10-05T19:30:05,28.6,82.7,3.0,22.308709,114.211864,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3851_04.csv
AB4818,2025-10-05T20:20:02,28.7,81.0,3.0,22.315157,114.224991,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_AB4818_04.csv
DF1020,2025-10-05T20:10:43,29.6,79.8,3.0,22.31777,114.171015,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF1020_04.csv
DF3633,2025-10-05T20:10:50,29.1,79.0,3.0,22.333017,114.204519,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3633_04.csv
DF3637,2025-10-05T20:20:08,29.2,84.2,3.0,22.332194,114.204583,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3637_04.csv
DF3644,2025-10-05T20:10:59,28.8,79.2,5.0,22.331033,114.204639,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3644_02.csv
DF3647,2025-10-05T20:20:15,29.3,82.8,3.0,22.330369,114.20464,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3647_04.csv
DF3651,2025-10-05T20:10:44,29.5,81.5,3.0,22.329522,114.204611,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3651_04.csv
DF3654,2025-10-05T20:10:23,29.5,79.6,3.0,22.328862,114.204576,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_DF3654_04.csv
E7692,2025-10-05T20:20:16,28.7,83.0,3.0,22.321696,114.209811,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_E7692_04.csv
E7710,2025-10-05T20:20:21,28.7,83.0,3.0,22.321498,114.207796,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_E7710_04.csv
GF0710,2025-10-05T20:20:01,29.1,75.0,3.0,22.32187,114.211365,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF0710_04.csv
GF3638,2025-10-05T20:20:16,29.0,88.0,3.0,22.314722,114.223885,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3638_04.csv
GF3640,2025-10-05T20:10:23,29.2,81.0,3.0,22.31493,114.224662,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3640_04.csv
GF3643,2025-10-05T20:20:12,29.0,86.0,3.0,22.314587,114.225609,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3643_04.csv
GF3644,2025-10-05T20:10:28,28.8,90.0,3.0,22.314045,114.225841,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3644_04.csv
GF3831,2025-10-05T20:20:04,28.4,85.3,3.0,22.309247,114.212971,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3831_04.csv
GF3839,2025-10-05T20:10:42,28.4,84.0,3.0,22.308653,114.211115,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3839_04.csv
GF3842,2025-10-05T20:10:32,28.6,81.0,3.0,22.308226,114.211083,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3842_04.csv
GF3844,2025-10-05T20:20:22,28.5,85.2,3.0,22.308128,114.211521,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3844_04.csv
GF3846,2025-10-05T20:20:09,28.5,80.0,3.0,22.308413,114.211648,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/smart-lamppost_GF3846_04.csv
